PR_Number,PR_MU_Number,CWT_Code,Number_Released,Release_name,Hatchery_name,Stock_name,brood_year,StockID,Name
26,2,'186092,5970,R-Zolzap Cr,NA,S-Zolzap Cr,2017,236,M-bcnchw
19,4,'186101,12256,R-Keogh R,NA,S-Keogh R,2006,216,M-jnstrw
19,4,'186102,10918,R-Keogh R,NA,S-Keogh R,2007,216,M-jnstrw
19,4,'186104,9825,R-Keogh R,NA,S-Keogh R,2007,216,M-jnstrw
19,4,'186105,11479,R-Keogh R,NA,S-Keogh R,2010,216,M-jnstrw
18,2,'186106,5211,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2015,210,M-gsvcih
18,2,'186107,5218,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2015,210,M-gsvcih
18,2,'186109,5233,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2015,210,M-gsvcih
18,2,'186112,5223,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2015,210,M-gsvcih
18,2,'186117,10943,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2007,210,M-gsvcih
18,2,'186118,10953,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2007,210,M-gsvcih
18,2,'186119,11415,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2007,210,M-gsvcih
18,2,'186120,11289,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2007,210,M-gsvcih
18,2,'186125,10159,R-Goldstream R,H-Goldstream River H,S-Goldstream R,2008,210,M-gsvcih
18,2,'186126,10185,R-Goldstream R,H-Goldstream River H,S-Goldstream R,2008,210,M-gsvcih
18,2,'186127,10747,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2008,210,M-gsvcih
18,2,'186128,10399,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2008,210,M-gsvcih
18,2,'186129,11374,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2008,210,M-gsvcih
18,2,'186130,10874,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2008,210,M-gsvcih
25,2,'186139,13825,R-Johnston Cr,H-Snootli Creek H,S-Johnston Cr,2010,234,M-bccnhw
22,2,'186147,16627,R-Inch Cr,H-Inch Creek H,S-Inch Cr,2017,226,M-frslwh
22,2,'186148,17297,R-Inch Cr,H-Inch Creek H,S-Inch Cr,2017,226,M-frslwh
22,2,'186149,11669,R-Inch Cr,H-Inch Creek H,S-Inch Cr,2017,226,M-frslwh
22,2,'186150,7257,R-Inch Cr,H-Inch Creek H,S-Inch Cr,2017,226,M-frslwh
22,2,'186158,20092,R-Inch Cr,H-Inch Creek H,S-Inch Cr,2006,226,M-frslwh
18,2,'186159,22544,R-Big Qualicum R,H-Big Qualicum River H,S-Big Qualicum R,2007,210,M-gsvcih
18,2,'186160,22830,R-Big Qualicum R,H-Big Qualicum River H,S-Big Qualicum R,2007,210,M-gsvcih
18,2,'186163,19998,R-Goldstream R,H-Goldstream River H,S-Goldstream R,2007,210,M-gsvcih
22,2,'186201,20078,R-Inch Cr,H-Inch Creek H,S-Inch Cr,2007,226,M-frslwh
20,2,'186202,10558,R-Robertson Cr,H-Robertson Creek H,S-Robertson Cr,2008,218,M-swvcih
20,2,'186203,10541,R-Robertson Cr,H-Robertson Creek H,S-Robertson Cr,2008,218,M-swvcih
18,2,'186204,22157,R-Big Qualicum R,H-Big Qualicum River H,S-Big Qualicum R,2014,210,M-gsvcih
26,2,'186244,4032,R-Deena Cr,NA,S-Deena Cr,2009,236,M-bcnchw
26,2,'186249,10904,R-Zymacord R,H-Spring Creek/ SKNA H,S-Zymacord R,2013,236,M-bcnchw
26,2,'186250,3360,R-Zymacord R,H-Spring Creek/ SKNA H,S-Zymacord R,2013,236,M-bcnchw
26,2,'186251,4663,R-Kitwanga R,NA,S-Kitwanga R,2013,236,M-bcnchw
26,2,'186252,9676,R-Damshilgwit Cr,NA,S-Damshilgwit Cr,2012,236,M-bcnchw
26,2,'186254,6044,R-Kitwanga R,NA,S-Kitwanga R,2014,236,M-bcnchw
26,2,'186327,11575,R-Zolzap Cr,NA,S-Zolzap Cr,2008,236,M-bcnchw
26,2,'186328,11165,R-Zolzap Cr,NA,S-Zolzap Cr,2008,236,M-bcnchw
26,2,'186329,10571,R-Zolzap Cr,NA,S-Zolzap Cr,2008,236,M-bcnchw
26,2,'186330,3208,R-Zolzap Cr,NA,S-Zolzap Cr,2009,236,M-bcnchw
23,2,'186340,22252,R-Griffin Lk,H-Spius Creek H,S-Eagle R,2009,230,M-frsuph
23,2,'186341,19940,R-Coldwater R,H-Spius Creek H,S-Coldwater R,2011,230,M-frsuph
10,4,'210003,10233,NANCY CR     21.0113,SALMON R FISH CULTUR,CLEARWATER R -UPPER,1999,142,M-quetfh
10,4,'210004,9211,MATHENY CR   21.0165,SALMON R FISH CULTUR,MATHENY CR   21.0165,2000,142,M-quetfh
10,4,'210005,9784,BORDER CR    21.0200,SALMON R FISH CULTUR,QUEETS R-MID 21.0016,2000,142,M-quetfh
10,4,'210006,9218,MILLER CR    21.0048,SALMON R FISH CULTUR,MILLER CR    21.0048,2000,142,M-quetfh
10,4,'210007,9354,BORDER CR    21.0200,SALMON R FISH CULTUR,QUEETS R-UPR 21.0016,2000,142,M-quetfh
10,4,'210008,10089,NANCY CR     21.0113,SALMON R FISH CULTUR,CLEARWATER R -UPPER,2000,142,M-quetfh
10,4,'210009,9085,NANCY CR     21.0113,SALMON R FISH CULTUR,CLEARWATER R -UPPER,2000,142,M-quetfh
5,6,'210106,20736,AGATE PASS SEA PENS,AGATE PASS SEA PENS,MINTER CR    15.0048,1998,66,M-ssdnph
6,8,'210130,100815,LOWER ELWHA HATCHERY,LOWER ELWHA HATCHERY,LOWER ELWHA  18.0274,1998,114,M-elwhah
4,2,'210133,49420,PORT GAMBLE BAY PENS,PORT GAMBLE BAY PENS,BIG QUILCENE 17.0012,1997,42,M-ptgamh
5,44,'210137,44539,ELLIOTT BAY TRIBAL NP,ELLIOTT BAY TRIBAL NP,BIG SOOS CR  09.0072,1997,104,M-are10h
5,36,'210138,48192,CRISP CR     09.0113,KETA CREEK COMPLEX,CRISP CR     09.0113,1997,96,M-greenh
5,32,'210140,20847,BROWNSVILLE NET PENS,BROWNSVILLE NET PENS,MINTER CR    15.0048,1998,92,M-ar10eh
10,4,'210145,9637,NORTH CR     21.0202,SALMON R FISH CULTUR,QUEETS R-UPR 21.0016,1997,142,M-quetfh
5,44,'210158,46185,ELLIOTT BAY TRIBAL NP,ELLIOTT BAY TRIBAL NP,BIG SOOS CR  09.0072,1998,104,M-are10h
1,8,'210159,46836,LUMMI SEA PONDS,LUMMI SEA PONDS,LUMMI STOCK,1998,8,M-lumpdh
1,6,'210160,47822,NOOKSACK -SF 01.0246,SKOOKUM CR HATCHERY,SKOOKUM CR   01.0273,1998,6,M-skokmh
6,8,'210171,62465,LOWER ELWHA HATCHERY,LOWER ELWHA HATCHERY,LOWER ELWHA  18.0274,1999,114,M-elwhah
3,6,'210174,47067,TULALIP CR   07.0001,BERNIE GOBIN HATCH,WALLACE R    07.0940,1999,34,M-tuliph
1,6,'210175,44224,NOOKSACK -SF 01.0246,SKOOKUM CR HATCHERY,SKOOKUM CR   01.0273,1999,6,M-skokmh
1,8,'210177,46125,LUMMI SEA PONDS,LUMMI SEA PONDS,LUMMI STOCK,1999,8,M-lumpdh
6,8,'210182,87982,LOWER ELWHA HATCHERY,LOWER ELWHA HATCHERY,LOWER ELWHA  18.0274,1999,114,M-elwhah
6,8,'210187,101749,ELWHA R      18.0272,LOWER ELWHA HATCHERY,ELWHA R      18.0272,2000,114,M-elwhah
5,8,'210188,23853,CLEAR CR    11.0013C,CLEAR CREEK HATCHERY,MINTER CR    15.0048,2000,68,M-nisqlh
1,6,'210189,46955,NOOKSACK -SF 01.0246,SKOOKUM CR HATCHERY,SKOOKUM CR   01.0273,2001,6,M-skokmh
4,2,'210193,44707,PORT GAMBLE BAY PENS,PORT GAMBLE BAY PENS,BIG QUILCENE 17.0012,2000,42,M-ptgamh
5,8,'210194,27205,KALAMA CR    11.0017,KALAMA CR HATCHERY,KALAMA CR    11.0017,2015,68,M-nisqlh
